Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0;100;0;674;0;0;0;0;0;3.43;0;0;
aicha-Vostro-3500;_ALL;_ALL;0;100;0;674;0;0;0;0;0;3.43;0;0;
aicha-Vostro-3500;13461;_ALL;0;100;0;674;0;0;0;0;0;3.43;0;0;
aicha-Vostro-3500;13461;13461;0;100;0;674;0;0;0;0;0;3.43;0;0;
