loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
3;nbody.g;move_particles._omp_fn.0;8;;Innermost;92.6;0.57;0.56;0.57;0.59;1.1301683187485;8;
1;nbody.g;move_particles._omp_fn.0;8;;InBetween;0.42;0;0.01;0.01;0.01;0.48112520575523;3;
