name;time_p;time_s;cpi_ratio;
/home/aicha/Downloads/nbody3D/0/maqao_2022-01-07_00-58-50/binaries/nbody.g;93.02;0.58;;
/usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0;6.98;0.04;;
